,fuzzy_cluster_0,fuzzy_cluster_1,fuzzy_cluster_2,fuzzy_cluster_3,fuzzy_cluster_4,fuzzy_cluster_5,fuzzy_cluster_6,fuzzy_cluster_7,fuzzy_cluster_8,fuzzy_cluster_9,fuzzy_cluster_10,fuzzy_cluster_11,fuzzy_cluster_12,fuzzy_cluster_13,fuzzy_cluster_14,fuzzy_cluster_15,fuzzy_cluster_16,fuzzy_cluster_17,fuzzy_cluster_18,fuzzy_cluster_19,fuzzy_cluster_20,fuzzy_cluster_21,fuzzy_cluster_22,fuzzy_cluster_23,fuzzy_cluster_24,fuzzy_cluster_25,fuzzy_cluster_26,fuzzy_cluster_27,fuzzy_cluster_28,fuzzy_cluster_29,dominant_cluster,dominant_score
Kuala_Lumpur,0.03335667212481091,0.033293052869166895,0.03335535163226454,0.03330812937444129,0.033353102244226586,0.03331411383519093,0.03336035394556992,0.03331950854702576,0.033374545129687974,0.03334592756474363,0.03329821324217336,0.033350320856618564,0.03330273920181431,0.033328547405982234,0.03336703237003337,0.03332714690886949,0.033337985021997696,0.03336024464080856,0.033319403665073,0.03335839271826822,0.03330855330173342,0.0333007285050936,0.03335443364155836,0.03334307873996146,0.03331567068507208,0.03336483952958702,0.033275163762200646,0.03333659018990522,0.03333092910074433,0.03333922924537675,8,0.0334
Las_Palmas,0.033200101199129896,0.03351083376306964,0.03322700559388556,0.03347764343888173,0.03323664099618231,0.03344077879851066,0.0331647160057433,0.0334247095167593,0.03305548644868263,0.033313389438246695,0.033510036386104614,0.03324287097466296,0.03349074853624385,0.03336366344617782,0.033149792500960784,0.033387384432330594,0.03333678777078869,0.03320438543618515,0.0334172804183705,0.03320369147591465,0.033462099329542944,0.033485544811514584,0.03322531899407649,0.033282101608541476,0.033438389745531504,0.03314999322424767,0.03357475379990849,0.03334033811117396,0.03336076915695864,0.03332274464167273,26,0.0336
Lima,0.033689689300354896,0.03281996221626584,0.03363110634666667,0.03294268150068004,0.03360279614998408,0.03304627472383606,0.03377509475614794,0.03310029367092403,0.034043344733902546,0.03342655746699237,0.032839454029701905,0.03358052937724073,0.03289986220205664,0.033255671667521164,0.03383170857112005,0.03320776226145788,0.033336188903273486,0.03369800700424644,0.03311514465437907,0.033694916743443985,0.03297519059809069,0.032900736774579956,0.03363040433019831,0.03347572240933256,0.03305816353253111,0.03381839030636854,0.032614896399637175,0.03333227030042625,0.0332762320269313,0.03338094704170809,8,0.034
Lisboa,0.03339238805167581,0.03324884600252797,0.03338172610439491,0.03325849147909793,0.033382758382950475,0.033295331137307795,0.033401098704690206,0.0333039142528651,0.03339527660693741,0.03334082552626456,0.03323583693384992,0.03338851102452846,0.03325421127134768,0.03334939038657253,0.033384722195346064,0.03332563885535628,0.03334827382840109,0.03337537963513713,0.03331242027113128,0.03338610004723445,0.03328142803889184,0.033270165419722386,0.03338591295114253,0.033382762611057944,0.033296605416976065,0.03339372015633636,0.033176998919899156,0.03334926693568028,0.033345581032137375,0.03335641782053904,6,0.0334
London,0.03364806392987825,0.032887716450182805,0.033593866447553716,0.032985829705529934,0.033575627728423645,0.03308034924424124,0.03372554261358029,0.03312181001031044,0.03394304136957251,0.033399175217912386,0.032902992347220314,0.033554503342616386,0.03295497596966925,0.03327533691941847,0.03375709155803509,0.03321737018001884,0.03334533107888758,0.03364198268306262,0.033143394758056534,0.033634958861023995,0.03303122529429106,0.032960702329799654,0.03359778459425596,0.03346631971564329,0.03309314176715638,0.03376082628311675,0.032702765481774886,0.03333704423949023,0.03328051551784329,0.03338071436143415,8,0.0339
Malaga,0.033399888170414734,0.03322610367901977,0.03339422963008963,0.03325703484713741,0.03339545635161057,0.03327715502324305,0.03341439116906277,0.033285533609848074,0.03343783301338908,0.03335101145652319,0.033240252668046914,0.033383726720485736,0.03325146543897024,0.03332896594945187,0.033415432496919716,0.03330864215015058,0.03335488883295189,0.033397388469052686,0.03329527699672897,0.033385323015194174,0.03327749198085311,0.03324955261281908,0.03339637193648642,0.0333672232598117,0.033285734999145694,0.03342592384743964,0.03317275727700754,0.03334685217630336,0.03332199543042249,0.033356096791419945,8,0.0334
Marrakech,0.03287665860289369,0.03398733667234854,0.03295189102484705,0.033836938199617646,0.03297723244543921,0.033704839429237785,0.032763609499482475,0.033644989435981404,0.03244543790122053,0.0332336742444772,0.033954401681937016,0.03301445550613324,0.033881224869002566,0.03342119526558012,0.03271325653135366,0.03350552293384176,0.033310074356256866,0.03288070863694933,0.03361211084135607,0.03289960679964559,0.03376907465244437,0.03387910587806513,0.0329467397786877,0.033144406648625786,0.033682566043741986,0.03270625658112872,0.034253200261277574,0.0333255994077351,0.03341613928666101,0.03326174658403098,26,0.0343
Medellin,0.033118320185507304,0.0336274128074077,0.03315677244947298,0.033563791773267446,0.03316349728961506,0.03352130788042957,0.0330525741896605,0.03350428039284646,0.03287095926255479,0.03330754032042758,0.0335935806620256,0.033196844980358686,0.0335730237876002,0.03339422329377212,0.033028364850538,0.033442132166387833,0.033326750626228294,0.03312012535140011,0.03348056701278405,0.03315164691527964,0.033522749517911905,0.03358423789237524,0.033151601521020715,0.03326527075610159,0.033504401265951105,0.03301174280580654,0.033707270046836095,0.033343323539648376,0.03340602561951253,0.033309660837271785,26,0.0337
Mexico_City,0.03372158156015033,0.03277587905651239,0.03365702028781027,0.0329066685723653,0.03362627397111625,0.033021406783629935,0.0338147763329727,0.03308023972719541,0.03410550710278492,0.0334328231236746,0.03279419098144925,0.03360363406139438,0.03286058286580285,0.03325048408342545,0.033874453463324364,0.03319726111632145,0.03333550530667032,0.033728694502435416,0.033096537262751455,0.03372771772388626,0.032943035362618694,0.032863658680989914,0.03365660745311568,0.033490313877877924,0.03303387732441951,0.033860279602241486,0.0325509947048742,0.03333210139338817,0.03327285950524975,0.033385034209551405,8,0.0341
Milan,0.03406867485056082,0.032297626282693545,0.033941406553281164,0.03252524604702616,0.03389690206088832,0.032734276584918336,0.034257782015657386,0.032829932952724426,0.03480373568818176,0.03348238283699675,0.03233996994028285,0.033840425218108636,0.032455075095953904,0.033178916215794954,0.034343816466993096,0.03304966309540304,0.03334920142119184,0.034062008440908106,0.032878276243258425,0.03403784678483074,0.03262412769351537,0.032461415515294335,0.03394922514185639,0.03362745299517013,0.03276575785579521,0.034350596499121075,0.03189382146687934,0.03332919972509957,0.033192962391361075,0.03343227592025316,8,0.0348
Montevideo,0.03339803013617234,0.033228689670684666,0.033390863636964925,0.03326404395448945,0.03338181369823519,0.033282435631313986,0.033409170140174645,0.03329696566307752,0.033458889395288856,0.033367847458187216,0.033236707691233866,0.03337785879102098,0.03325059482061988,0.033315636584118916,0.03343110723079896,0.03331815323967706,0.03333255251685222,0.03341008760166514,0.03329481017246342,0.03341029361460475,0.03325943446518604,0.03324520072383531,0.03338746437285109,0.03335695600311153,0.033283749155289075,0.03341821045918958,0.03318523831272076,0.033335037578806424,0.03332830643517259,0.03334385084619374,8,0.0335
Munich,0.033469987993744975,0.033141756099195556,0.033445291418056355,0.03317636359287831,0.033442879364008096,0.033230193140514785,0.03349944857926347,0.03324583657196761,0.03355457825847468,0.03335345090480025,0.033138344173802355,0.03343920742236849,0.03316583786925084,0.03333014056592279,0.03349166448538621,0.033290208296232776,0.0333527400839176,0.033452080454461505,0.03326180426750119,0.03345410499924112,0.033212153971063973,0.03317941948252297,0.03345092550225848,0.033409516349155635,0.03323564442034381,0.0335047477525121,0.03303506214318116,0.033347515483407246,0.03332346246894536,0.033365633885620256,8,0.0336
Napoles,0.03378684006777446,0.032682270457935585,0.03371259271549535,0.032828292602027125,0.03368823875397157,0.03296984162459705,0.033895832024984446,0.03303167831861644,0.034188770372338174,0.03343383636417604,0.032705104608403576,0.03365689210067375,0.03278353886090332,0.03325777837088164,0.03393745878639084,0.033172256872573413,0.033359215092912224,0.03377738808864486,0.03306423805769205,0.033766494952981875,0.03289779418018348,0.032792627646516304,0.03371848861193768,0.033532799771470986,0.03299056252949825,0.03394559650940457,0.032399970437821356,0.033347864454183175,0.03326483568293822,0.03341090108207232,8,0.0342
Paris,0.033652604960770396,0.03287367667332569,0.03360139603851124,0.032981659385269,0.03358410856089222,0.033072761911555906,0.03373127660556127,0.03311518385822655,0.03395230528525871,0.033404317506279715,0.032898555881589214,0.03355653422841688,0.03294938656269367,0.033271939353062635,0.03376691799106586,0.033212439144636605,0.03335337774176268,0.033650223921549746,0.033137992409858694,0.03363483283052854,0.033029028950227454,0.03295035873931484,0.03360492228145925,0.033465362056111114,0.03308897860347259,0.03377333998643883,0.03268692455374515,0.033340527227454286,0.03327455909628461,0.033384507654676605,8,0.034
Playa_Del_Carmen,0.03309174907741861,0.0336703121350487,0.03313419484503723,0.033599799135197256,0.03314519174594764,0.033531138489344955,0.03302872502757054,0.03350318412267998,0.03285839841802732,0.03329307329442995,0.03365549896908656,0.03316541752358812,0.03361956386263909,0.03337904488429629,0.033009099582991516,0.03343090440845352,0.0333208004124467,0.03310053986975705,0.03348251765445816,0.03311192567285915,0.03355752318416395,0.03361522263410334,0.03312935331538604,0.033233552411854134,0.03351906850067276,0.03299843421208426,0.03380332893053027,0.033331780171623915,0.03338258800973943,0.033298069498563544,26,0.0338
Porto,0.03317841029385181,0.03354842319204272,0.033206827248489404,0.03349831520923627,0.03322196779116315,0.033461331159543986,0.033136695536894314,0.033439552969061946,0.032992555101317926,0.033295466347989675,0.03353755287284916,0.033233733498060664,0.03351548371667045,0.03338181963606737,0.03310292472774795,0.03339531658634423,0.033346664801326954,0.033169020446524526,0.0334355230218792,0.03317260971168524,0.03349262994262116,0.033520649773485456,0.03320838781864602,0.033284448073349966,0.033457492744478165,0.03311389003937988,0.033613294987066195,0.03334634548620249,0.03336896576327382,0.03332370150275,26,0.0336
Prague,0.03405213635070969,0.032320995963916785,0.033927004588332824,0.03254711887445276,0.033878461886691434,0.03274801745830992,0.03423578773095218,0.032843888022159116,0.03478817118563842,0.03348640052131559,0.03236196205115564,0.033825518493264706,0.032474201340250426,0.033173905558285116,0.03433184716096676,0.03305729534106021,0.03334026891642423,0.034053270357356225,0.03288590385657747,0.03403326046872019,0.03263260045577074,0.03247792703668034,0.033931883890406,0.0336138680746502,0.03277575585928554,0.034327661555271546,0.03193363090617016,0.03332303063823944,0.033195248964795684,0.03342297649219062,8,0.0348
Roma,0.03412138294976978,0.03222189386610859,0.03398547364646793,0.0324683298009685,0.0339354916802709,0.03269090400139907,0.034323790638435304,0.03279524245058235,0.0349171196022629,0.03349731909469022,0.032267564366410886,0.03387555006099423,0.032390934264680225,0.03316384640518532,0.0344220567140941,0.03303015711111162,0.03334670944376728,0.03411830038631324,0.03284425349152174,0.03409400904878716,0.03256884103248377,0.03239642484725188,0.03399242759450483,0.03364569631571911,0.03272374184552409,0.03442438345289436,0.03179192887332,0.03332661029021098,0.03318288591854859,0.03343673080572112,8,0.0349
Santiago,0.03377830361845697,0.032685048058111996,0.033707432189656425,0.03284345883728834,0.03366962289037116,0.03297865763859784,0.033879751895766815,0.033050687727391705,0.03420347235019855,0.03346047317674152,0.03270510390750783,0.0336464951600144,0.03278525717134784,0.033241746568846604,0.03395310292970131,0.033186581646076165,0.033338990806941984,0.033791164110656885,0.033065899253308,0.03379438910664344,0.03287950892612416,0.03278889098291095,0.03370488158690476,0.033517463480042406,0.03299171207542081,0.033930037460448516,0.03241418069151006,0.03333732283439068,0.03327357431185476,0.03339678860676705,8,0.0342
Sevilla,0.0336947169658995,0.032805820339836325,0.03363911689906624,0.03293306188584039,0.03361814660648449,0.0330401882228655,0.033781266727786294,0.033091351139184204,0.034023971606992894,0.03342329361216031,0.032833658620102645,0.03358799213107587,0.032894867804987016,0.033265698681544754,0.03382503183589142,0.03320368950065298,0.033355031341576274,0.03369633573658324,0.03311528293367073,0.03368128388436138,0.03298304415845368,0.03289474267266716,0.03364170024704196,0.033485655143677594,0.03305857354075951,0.033827280582268554,0.032584846389148,0.03334480050168841,0.03327422369568496,0.03339532659204779,8,0.034
Sofia,0.033101295780119645,0.033656508936168075,0.03314117402267466,0.03358118981697663,0.03315519303226514,0.03353543119328584,0.03303148646611722,0.033509539956059986,0.03281839601267389,0.033291271839515045,0.03362264089108126,0.03318711588740286,0.033597945043660885,0.03340763122390359,0.03298992040102567,0.03344370519935521,0.033338663889823955,0.033092540349515205,0.03349377288529544,0.033117812042446695,0.03355457592243316,0.03361204492615266,0.033139705094389495,0.03326412945479761,0.033520228524190086,0.03298700192493891,0.033740382233756104,0.03334928780200622,0.03340584870969624,0.033313560538272675,26,0.0337
Stockholm,0.03346223059606575,0.03315234046465098,0.033438696180550675,0.033186384271823945,0.033434334853468674,0.0332361420596343,0.033489782056621765,0.03325196992934084,0.033549073489898794,0.03335593221063593,0.0331492067824803,0.033431667978952084,0.033175270061793036,0.033326506192605104,0.03348763190923605,0.03329357183199006,0.033346808861409956,0.03344906186908728,0.033264823458513684,0.033452501712919254,0.03321528489196934,0.033186451130011486,0.03344280418982127,0.0334022390893329,0.03324024700682658,0.033495026024071936,0.033054944064159424,0.03334387059724042,0.03332402323020837,0.03336117300467978,8,0.0335
Tallinn,0.033638407883718593,0.03289587366156049,0.03358822057545335,0.0329997496466838,0.033570564964273845,0.033084729340761364,0.03371347594001033,0.03312396850148857,0.033930519899428344,0.03340312675799071,0.03292131062302959,0.03354358640184643,0.032969415831314554,0.033270477590805286,0.03375097232218265,0.033217239033623044,0.033347750630976884,0.03363938681673971,0.03314569093736678,0.03362296535083955,0.03304213910574228,0.032967063584228025,0.033590959702168896,0.03345498469272196,0.033099326879343506,0.033753909013190954,0.0327227823991624,0.03333675237564248,0.033274785751114644,0.03337986378659082,8,0.0339
Tarifa,0.03304877312960183,0.03373943408699436,0.03309667094582192,0.03364692083409663,0.03311603044773052,0.03356091199351277,0.03298079981142849,0.03352016769915637,0.03277991064126057,0.03326708756912207,0.03372799749481513,0.0331328784844652,0.033679295538479745,0.033387205005246334,0.03294637881143967,0.0334341206571526,0.03332397932105154,0.033050490568187714,0.03350444685747879,0.033053104532591596,0.0336125882448796,0.03367338334530095,0.03309488181433588,0.03321339286290658,0.03355119545923271,0.0329488070370632,0.033909929215944025,0.03333004008786794,0.03337722323830423,0.03329195426453098,26,0.0339
Tbilisi,0.03313316881084277,0.033613502583875014,0.03316738009973871,0.03354831242613427,0.033179407050368676,0.03350570258136932,0.03307463149668837,0.033482670310428446,0.032897735703151826,0.033295500048560994,0.03358669392974052,0.03320508595468689,0.03356349578067424,0.03339346428044165,0.033040747199000645,0.033425091361747046,0.03333614223466363,0.03312682865794097,0.03346905946025334,0.03314634592395232,0.03352458226271148,0.033573752290479965,0.03316601331474939,0.033270018461667376,0.033493179448974834,0.03303850061530048,0.033693057135697015,0.03334451389108588,0.03339143841255155,0.03331397827252244,26,0.0337
Valencia,0.03319610611038148,0.03352062523344906,0.03322257346855386,0.03347847297968662,0.03323636344832521,0.033446655262035586,0.03315845307595899,0.03342824583127281,0.033026518183724964,0.033301797240049426,0.03351198889202749,0.033246377698605355,0.0334931612565601,0.03337808518492227,0.03312822669776143,0.03338963015184161,0.03334794448800053,0.033187983653637704,0.03342472893055896,0.0331908788293489,0.033474220375402305,0.033497704977933515,0.033223887645296026,0.0332918636565547,0.033444012666430815,0.03313843909366906,0.033573832420633644,0.03334742032464102,0.03336660937077921,0.033327192851957385,26,0.0336
Vienna,0.033997544744424485,0.032397521684608674,0.033882644673541545,0.032604639030966456,0.03384244959227076,0.032792352682084094,0.0341674132573219,0.032878302041727536,0.03465987693383532,0.033468632428111496,0.032436910520163204,0.03379109056063456,0.03254048343423341,0.033193900272217775,0.03424530675405076,0.03307673630097637,0.03334978606194294,0.033991672665474745,0.03292228626245993,0.03396869267639468,0.03269410275257335,0.032545701126003676,0.03388966630094625,0.033598481903144836,0.03282057511062984,0.034251691239754224,0.03203285201796769,0.033330170840004565,0.03320569782289593,0.033422818308639,8,0.0347
Warsaw,0.03400320009133457,0.03238820683711381,0.033887138826358215,0.03260018051625799,0.03384222261744396,0.03278834637697215,0.034173479365128455,0.032877881032239265,0.03468377904559566,0.03347750827241909,0.03242690209880675,0.033792831407515274,0.03253217000076942,0.03318637087930734,0.03426230226625573,0.033077421963048255,0.03334144556572521,0.03400430301744583,0.03291739777475657,0.033985412702594434,0.03268060545415609,0.03253545613240992,0.03389171739850583,0.033596150043821084,0.032814488485836894,0.034258574070973456,0.03202415559916443,0.03332546946012935,0.03320613545664095,0.03341874724127401,8,0.0347
